Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_Reference,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.2075,46.5421,47.6266,48.9112,51.0514,55.0508,63.2011,73.5731,84.8136,98.829,114.6212,130.1863,140.6851,150.6177,160.7701,170.7894,182.0062,194.2181,205.5506
AIM/CGE 2.0,ADVANCE_Reference,World,Temperature|Global Mean,°C,,0.9162,0.9755,0,1.2391,0,1.5092,0,1.8151,0,2.1257,0,2.4077,0,2.6861,0,2.9711,0,3.2728,0,3.568
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Emissions|CO2,Mt CO2/yr,,34690.406,38547.4385,38685.8927,39045.7254,29177.1512,19323.664,15726.3401,13389.3425,11518.5338,8512.1092,7551.6682,7066.8025,7169.7796,6452.1428,6902.4157,7402.8101,7711.6803,8013.6627,8500.7199,8987.1215
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4777.8507,5866.8124,4363.0669,3403.111,1329.5778,86.1268,-1011.1962,-1741.6823,-2179.3742,-3159.4417,-2812.8499,-2788.4484,-2392.1164,-2609.5849,-2047.2998,-1640.8987,-1502.0691,-1372.3357,-1078.5843,-805.9788
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29818.8701,32583.0201,34254.2781,35590.3926,27819.7178,19217.4185,16718.4306,15113.0755,13680.1785,11654.025,10347.5892,9838.9048,9545.8643,9046.2347,8934.2456,9028.0187,9197.7578,9369.6824,9562.6311,9776.0343
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Emissions|CO2|Other,Mt CO2/yr,,93.6853,97.6059,68.5478,52.2217,27.8555,20.1187,19.1057,17.9493,17.7294,17.5258,16.929,16.3462,16.0318,15.4929,15.4699,15.6901,15.9916,16.3159,16.6731,17.0661
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.5557,47.0266,47.9278,50.5749,65.1474,85.8572,122.2301,139.2907,144.8399,159.1909,179.546,196.2415,203.2508,209.1371,215.4826,221.9786,228.067,233.8685,239.2478
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Temperature|Global Mean,°C,,0.9167,0.9816,0,1.2302,0,1.4398,0,1.5005,0,1.4887,0,1.4485,0,1.4086,0,1.3684,0,1.3308,0,1.2916
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Emissions|CO2|Industrial Processes,Mt CO2/yr,,1774.0955,1971.8121,1845.1994,1812.3567,1581.7825,1502.3823,1536.0373,1551.2104,1576.0511,1590.1488,1588.421,1581.1342,1576.9442,1563.688,1561.3397,1564.4765,1567.7157,1571.0077,1578.4529,1586.5853
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Emissions|CO2,Mt CO2/yr,,34690.406,38547.4385,38685.8927,39045.7254,35199.7095,31042.0858,26794.658,24013.7738,22724.2582,20382.8581,18158.8371,17162.8062,16248.5009,14802.8757,14515.1901,14117.7216,13880.1964,13688.7114,13949.2373,14162.5939
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4777.8507,5866.8124,4363.0669,3403.111,1847.028,1066.7568,400.6293,411.158,952.3192,700.4612,388.3151,-236.8601,-667.4606,-1029.5731,-843.3887,-961.1159,-1006.0453,-1064.4412,-852.0242,-783.5404
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29818.8701,32583.0201,34254.2781,35590.3926,33314.8579,29943.052,26364.6636,23575.6039,21744.8725,19654.5902,17742.2524,17371.8844,16888.9171,15806.9054,15333.4957,15053.9192,14861.3414,14728.2303,14776.091,14920.5551
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Emissions|CO2|Other,Mt CO2/yr,,93.6853,97.6059,68.5478,52.2217,37.8236,32.2771,29.3652,27.012,27.0666,27.8067,28.2696,27.7819,27.0445,25.5434,25.0831,24.9183,24.9004,24.9223,25.1705,25.5792
